name,reads,reads2,sample_type
Adipose_1,SRR10174860_1.fastq.gz,SRR10174860_2.fastq.gz,Adipose
Adipose_2,SRR10174861_1.fastq.gz,SRR10174861_2.fastq.gz,Adipose
Adipose_3,SRR10174862_1.fastq.gz,SRR10174862_2.fastq.gz,Adipose
Adipose_4,SRR10174863_1.fastq.gz,SRR10174863_2.fastq.gz,Adipose
Forebrain_1,SRR10174864_1.fastq.gz,SRR10174864_2.fastq.gz,Forebrain
Forebrain_2,SRR10174865_1.fastq.gz,SRR10174865_2.fastq.gz,Forebrain
Forebrain_3,SRR10174866_1.fastq.gz,SRR10174866_2.fastq.gz,Forebrain
Forebrain_4,SRR10174867_1.fastq.gz,SRR10174867_2.fastq.gz,Forebrain
Forebrain_5,SRR10174868_1.fastq.gz,SRR10174868_2.fastq.gz,Forebrain
Forebrain_6,SRR10174869_1.fastq.gz,SRR10174869_2.fastq.gz,Forebrain
Heart_1,SRR10174870_1.fastq.gz,SRR10174870_2.fastq.gz,Heart
Heart_2,SRR10174871_1.fastq.gz,SRR10174871_2.fastq.gz,Heart
Heart_3,SRR10174872_1.fastq.gz,SRR10174872_2.fastq.gz,Heart
Heart_4,SRR10174873_1.fastq.gz,SRR10174873_2.fastq.gz,Heart
Heart_5,SRR10174874_1.fastq.gz,SRR10174874_2.fastq.gz,Heart
Ileum_1,SRR10174875_1.fastq.gz,SRR10174875_2.fastq.gz,Ileum
Ileum_2,SRR10174876_1.fastq.gz,SRR10174876_2.fastq.gz,Ileum
Ileum_3,SRR10174877_1.fastq.gz,SRR10174877_2.fastq.gz,Ileum
Ileum_4,SRR10174878_1.fastq.gz,SRR10174878_2.fastq.gz,Ileum
Ileum_5,SRR10174879_1.fastq.gz,SRR10174879_2.fastq.gz,Ileum
Ileum_6,SRR10174880_1.fastq.gz,SRR10174880_2.fastq.gz,Ileum
Kidney_1,SRR10174881_1.fastq.gz,SRR10174881_2.fastq.gz,Kidney
Kidney_2,SRR10174882_1.fastq.gz,SRR10174882_2.fastq.gz,Kidney
Kidney_3,SRR10174883_1.fastq.gz,SRR10174883_2.fastq.gz,Kidney
Kidney_4,SRR10174884_1.fastq.gz,SRR10174884_2.fastq.gz,Kidney
Kidney_5,SRR10174885_1.fastq.gz,SRR10174885_2.fastq.gz,Kidney
Muscle_1,SRR10174886_1.fastq.gz,SRR10174886_2.fastq.gz,Muscle
Muscle_2,SRR10174887_1.fastq.gz,SRR10174887_2.fastq.gz,Muscle
Muscle_3,SRR10174888_1.fastq.gz,SRR10174888_2.fastq.gz,Muscle
Muscle_4,SRR10174889_1.fastq.gz,SRR10174889_2.fastq.gz,Muscle
Muscle_5,SRR10174890_1.fastq.gz,SRR10174890_2.fastq.gz,Muscle
Muscle_6,SRR10174891_1.fastq.gz,SRR10174891_2.fastq.gz,Muscle
Muscle_7,SRR10174892_1.fastq.gz,SRR10174892_2.fastq.gz,Muscle
Liver_1,SRR10174893_1.fastq.gz,SRR10174893_2.fastq.gz,Liver
Liver_2,SRR10174894_1.fastq.gz,SRR10174894_2.fastq.gz,Liver
Liver_3,SRR10174895_1.fastq.gz,SRR10174895_2.fastq.gz,Liver
Liver_4,SRR10174896_1.fastq.gz,SRR10174896_2.fastq.gz,Liver
Liver_5,SRR10174897_1.fastq.gz,SRR10174897_2.fastq.gz,Liver
Liver_6,SRR10174898_1.fastq.gz,SRR10174898_2.fastq.gz,Liver
Lung_1,SRR10174899_1.fastq.gz,SRR10174899_2.fastq.gz,Lung
Lung_2,SRR10174900_1.fastq.gz,SRR10174900_2.fastq.gz,Lung
Lung_3,SRR10174901_1.fastq.gz,SRR10174901_2.fastq.gz,Lung
Lung_4,SRR10174902_1.fastq.gz,SRR10174902_2.fastq.gz,Lung
Lung_5,SRR10174903_1.fastq.gz,SRR10174903_2.fastq.gz,Lung
Lymphocyte_1,SRR10174904_1.fastq.gz,SRR10174904_2.fastq.gz,Lymphocyte
Lymphocyte_2,SRR10174905_1.fastq.gz,SRR10174905_2.fastq.gz,Lymphocyte
Mammary_1,SRR10174906_1.fastq.gz,SRR10174906_2.fastq.gz,Mammary
Mammary_2,SRR10174907_1.fastq.gz,SRR10174907_2.fastq.gz,Mammary
Mammary_3,SRR10174908_1.fastq.gz,SRR10174908_2.fastq.gz,Mammary
Ovary,SRR10174909_1.fastq.gz,SRR10174909_2.fastq.gz,Ovary
